rank,symbol,company,market_cap,sector
186,MPC,Marathon Petroleum Corp,$53.56 Billion,Energy
187,FTNT,Fortinet Inc,$53.56 Billion,Technology
188,O,Realty Income Corporation,$53.51 Billion,Real Estate
189,FAST,Fastenal Company,$53.12 Billion,Industrials
190,AJG,Arthur J Gallagher & Co,$52.93 Billion,Financial Services
191,LHX,L3Harris Technologies Inc,$51.53 Billion,Industrials
192,D,Dominion Energy Inc,$51.45 Billion,Utilities
193,BDX,Becton Dickinson and Company,$50.08 Billion,Healthcare
194,DFS,Discover Financial Services,$50.05 Billion,Financial Services
195,ABNB,Airbnb Inc,$49.72 Billion,Consumer Cyclical
196,IDXX,IDEXX Laboratories Inc,$49.69 Billion,Healthcare
197,TGT,Target Corporation,$49.36 Billion,Consumer Defensive
198,GWW,WW Grainger Inc,$49.23 Billion,Industrials
199,ADSK,Autodesk Inc,$48.90 Billion,Technology
200,CAH,Cardinal Health Inc,$47.78 Billion,Healthcare
201,PSA,Public Storage,$47.23 Billion,Real Estate
202,CARR,Carrier Global Corp,$47.16 Billion,Industrials
203,TRGP,Targa Resources Inc,$46.85 Billion,Energy
204,AME,Ametek Inc,$46.59 Billion,Industrials
205,KR,Kroger Company,$46.45 Billion,Consumer Defensive
206,MPWR,Monolithic Power Systems Inc,$45.94 Billion,Technology
207,OKE,ONEOK Inc,$45.78 Billion,Energy
208,DAL,Delta Air Lines Inc,$45.27 Billion,Industrials
209,EXC,Exelon Corporation,$45.09 Billion,Utilities
210,EW,Edwards Lifesciences Corp,$45.06 Billion,Healthcare
211,EA,Electronic Arts Inc,$44.86 Billion,Communication Services
212,CMG,Chipotle Mexican Grill Inc,$44.79 Billion,Consumer Cyclical
213,XEL,Xcel Energy Inc,$44.58 Billion,Utilities
214,ROK,Rockwell Automation Inc,$43.47 Billion,Industrials
215,HES,Hess Corporation,$43.42 Billion,Energy
216,AMP,Ameriprise Financial Inc,$43.37 Billion,Financial Services
217,CTVA,Corteva Inc,$43.35 Billion,Basic Materials
218,MET,MetLife Inc,$43.24 Billion,Financial Services
219,DHI,DR Horton Inc,$43.16 Billion,Consumer Cyclical
220,OXY,Occidental Petroleum Corporation,$42.23 Billion,Energy
221,YUM,Yum! Brands Inc,$41.95 Billion,Consumer Cyclical
222,ETR,Entergy Corporation,$41.77 Billion,Utilities
223,SYY,Sysco Corporation,$41.41 Billion,Consumer Defensive
224,CBRE,CBRE Group Inc Class A,$41.08 Billion,Real Estate
225,NDAQ,Nasdaq Inc,$40.81 Billion,Financial Services
226,MCHP,Microchip Technology Inc,$40.65 Billion,Technology
227,AIG,American International Group Inc,$40.40 Billion,Financial Services
228,PEG,Public Service Enterprise Group Inc,$39.27 Billion,Utilities
229,VMC,Vulcan Materials Company,$38.68 Billion,Basic Materials
230,WAB,Westinghouse Air Brake Technologies Corp,$38.37 Billion,Industrials
231,PYPL,PayPal Holdings Inc,$38.10 Billion,Financial Services
232,HIG,Hartford Financial Services Group,$38.04 Billion,Financial Services
233,MLM,Martin Marietta Materials Inc,$37.60 Billion,Basic Materials
234,ED,Consolidated Edison Inc,$37.47 Billion,Utilities
235,VTR,Ventas Inc,$37.11 Billion,Real Estate
236,MSCI,MSCI Inc,$37.11 Billion,Financial Services
237,RMD,ResMed Inc,$37.11 Billion,Healthcare
238,GEHC,GE HealthCare Technologies Inc.,$37.06 Billion,Healthcare
239,DELL,Dell Technologies Inc,$36.74 Billion,Technology
240,UAL,United Airlines Holdings Inc,$36.64 Billion,Industrials
241,TER,Teradyne Inc,$36.29 Billion,Technology
242,CCI,Crown Castle,$36.18 Billion,Real Estate
243,PRU,Prudential Financial Inc,$36.02 Billion,Financial Services
244,EBAY,eBay Inc,$36.00 Billion,Consumer Cyclical
245,KEYS,Keysight Technologies Inc,$35.96 Billion,Technology
246,NUE,Nucor Corp,$35.76 Billion,Basic Materials
247,KDP,Keurig Dr Pepper Inc,$35.49 Billion,Consumer Defensive
248,GRMN,Garmin Ltd,$35.47 Billion,Technology
249,A,Agilent Technologies Inc,$34.94 Billion,Healthcare
250,FITB,Fifth Third Bancorp,$34.85 Billion,Financial Services
251,PCG,PG&E Corp,$34.84 Billion,Utilities
252,WEC,WEC Energy Group Inc,$34.83 Billion,Utilities
253,CCL,Carnival Corporation,$34.59 Billion,Consumer Cyclical
254,ACGL,Arch Capital Group Ltd,$34.26 Billion,Financial Services
255,OTIS,Otis Worldwide Corp,$34.18 Billion,Industrials
256,KMB,Kimberly-Clark Corporation,$34.04 Billion,Consumer Defensive
257,IR,Ingersoll Rand Inc,$33.99 Billion,Industrials
258,ROP,"Roper Technologies, Inc.",$33.79 Billion,Technology
259,ODFL,Old Dominion Freight Line Inc,$33.52 Billion,Industrials
260,TTWO,Take-Two Interactive Software Inc,$33.43 Billion,Communication Services
261,CPRT,Copart Inc,$33.31 Billion,Industrials
262,ANSS,ANSYS Inc,$32.74 Billion,Technology
263,STT,State Street Corp,$32.65 Billion,Financial Services
264,AXON,Axon Enterprise Inc.,$32.46 Billion,Industrials
265,KVUE,Kenvue Inc.,$32.24 Billion,Consumer Defensive
266,FANG,Diamondback Energy Inc,$31.48 Billion,Energy
267,ULTA,Ulta Beauty Inc,$31.22 Billion,Consumer Cyclical
268,CTSH,Cognizant Technology Solutions Corp Class A,$31.16 Billion,Technology
269,EQT,EQT Corporation,$31.15 Billion,Energy
270,XYL,Xylem Inc,$31.13 Billion,Industrials
271,FICO,Fair Isaac Corporation,$31.09 Billion,Technology
272,TPR,Tapestry Inc,$31.00 Billion,Consumer Cyclical
273,MTB,M&T Bank Corporation,$30.89 Billion,Financial Services
274,WDAY,Workday Inc,$30.21 Billion,Technology
275,PAYX,Paychex Inc,$29.98 Billion,Technology
276,IRM,Iron Mountain Incorporated,$29.90 Billion,Real Estate
277,ADM,Archer-Daniels-Midland Company,$29.77 Billion,Consumer Defensive
278,VICI,VICI Properties Inc,$29.67 Billion,Real Estate
279,HPE,Hewlett Packard Enterprise Co,$29.17 Billion,Technology
280,K,Kellanova,$28.63 Billion,Consumer Defensive
281,AEE,Ameren Corp,$28.61 Billion,Utilities
282,EXR,Extra Space Storage Inc,$28.48 Billion,Real Estate
284,HAL,Halliburton Company,$28.06 Billion,Energy
285,DOV,Dover Corporation,$28.03 Billion,Industrials
286,WTW,Willis Towers Watson PLC,$27.78 Billion,Financial Services
287,BIIB,Biogen Inc,$27.74 Billion,Healthcare
288,TSCO,Tractor Supply Company,$27.73 Billion,Consumer Cyclical
